           a           b  c  d   e      J  g  h   position            i                     strength         f   z  label  m   n      o   p  q      r  s  t     u   v   K  y
SymmetricTop Excited  14  7  1 Ground  13  1  1  1500.23548844        -               1.16897688306979    0.0000 : rR0(13) : Excited v=1 14  1     A2u - Ground v=0 13  0 A2g
SymmetricTop Excited  15  6  1 Ground  14  0  1  1500.24769844        -               0.997085682577231   0.0000 : rR0(14) : Excited v=1 15  1     A1u - Ground v=0 14  0 A1g
SymmetricTop Excited  16  7  1 Ground  15  1  1  1500.25924244        -               0.833726073254001   0.0000 : rR0(15) : Excited v=1 16  1     A2u - Ground v=0 15  0 A2g
SymmetricTop Excited  11 10  1 Ground  10  4  1  1500.205792          -               0.695199251036861   0.0000 : pR1(10) : Excited v=1 11  0    E1u - Ground v=0 10  1 E1g
SymmetricTop Excited  12 10  1 Ground  11  4  1  1500.22              -               0.641515894938849   0.0000 : pR1(11) : Excited v=1 12  0    E1u - Ground v=0 11  1 E1g
SymmetricTop Excited  13 10  1 Ground  12  4  1  1500.233542          -               0.577784056953026   0.0000 : pR1(12) : Excited v=1 13  0    E1u - Ground v=0 12  1 E1g
SymmetricTop Excited  14 10  1 Ground  13  4  1  1500.246418          -               0.50858244216249    0.0000 : pR1(13) : Excited v=1 14  0    E1u - Ground v=0 13  1 E1g
SymmetricTop Excited  15 10  1 Ground  14  4  1  1500.258628          -               0.437969512532063   0.0000 : pR1(14) : Excited v=1 15  0    E1u - Ground v=0 14  1 E1g
SymmetricTop Excited  17  6  1 Ground  16  0  1  1500.27012044        -               0.683711780219749   0.0000 : rR0(16) : Excited v=1 17  1     A1u - Ground v=0 16  0 A1g
SymmetricTop Excited  18  7  1 Ground  17  1  1  1500.28033244        -               0.5501034709183     0.0000 : rR0(17) : Excited v=1 18  1     A2u - Ground v=0 17  0 A2g
SymmetricTop Excited  19  6  1 Ground  18  0  1  1500.28987844        -               0.434385317505502   0.0000 : rR0(18) : Excited v=1 19  1     A1u - Ground v=0 18  0 A1g
SymmetricTop Excited  16 10  1 Ground  15  4  1  1500.270172          -               0.369291292776339   0.0000 : pR1(15) : Excited v=1 16  0    E1u - Ground v=0 15  1 E1g
SymmetricTop Excited  20  7  1 Ground  19  1  1  1500.29875844        -               0.336730864228027   0.0000 : rR0(19) : Excited v=1 20  1     A2u - Ground v=0 19  0 A2g
SymmetricTop Excited  17 10  1 Ground  16  4  1  1500.28105           -               0.305087129723289   0.0000 : pR1(16) : Excited v=1 17  0    E1u - Ground v=0 16  1 E1g
SymmetricTop Excited  21  6  1 Ground  20  0  1  1500.30697244        -               0.25631199474388    0.0000 : rR0(20) : Excited v=1 21  1     A1u - Ground v=0 20  0 A1g
SymmetricTop Excited  18 10  1 Ground  17  4  1  1500.291262          -               0.247083106150288   0.0000 : pR1(17) : Excited v=1 18  0    E1u - Ground v=0 17  1 E1g
SymmetricTop Excited  19 10  1 Ground  18  4  1  1500.300808          -               0.196255119064882   0.0000 : pR1(18) : Excited v=1 19  0    E1u - Ground v=0 18  1 E1g
SymmetricTop Excited  20 10  1 Ground  19  4  1  1500.309688          -               0.152939821130856   0.0000 : pR1(19) : Excited v=1 20  0    E1u - Ground v=0 19  1 E1g
SymmetricTop Excited  22  7  1 Ground  21  1  1  1500.31452044        -               0.191611175924125   0.0000 : rR0(21) : Excited v=1 22  1     A2u - Ground v=0 21  0 A2g
SymmetricTop Excited  23  6  1 Ground  22  0  1  1500.32140244        -               0.140706811984761   0.0000 : rR0(22) : Excited v=1 23  1     A1u - Ground v=0 22  0 A1g
SymmetricTop Excited  21 10  1 Ground  20  4  1  1500.317902          -               0.116971374201174   0.0000 : pR1(20) : Excited v=1 21  0    E1u - Ground v=0 20  1 E1g
SymmetricTop Excited  24  7  1 Ground  23  1  1  1500.32761844        -               0.101512354876524   0.0000 : rR0(23) : Excited v=1 24  1     A2u - Ground v=0 23  0 A2g
SymmetricTop Excited  22 10  1 Ground  21  4  1  1500.32545           -               0.0878244910341243  0.0000 : pR1(21) : Excited v=1 22  0    E1u - Ground v=0 21  1 E1g
SymmetricTop Excited  25  6  1 Ground  24  0  1  1500.33316844        -               0.0719600382112644  0.0000 : rR0(24) : Excited v=1 25  1     A1u - Ground v=0 24  0 A1g
SymmetricTop Excited  23 10  1 Ground  22  4  1  1500.332332          -               0.0647485294249227  0.0000 : pR1(22) : Excited v=1 23  0    E1u - Ground v=0 22  1 E1g
SymmetricTop Excited  26  7  1 Ground  25  1  1  1500.33805244        -               0.0501285422964107  0.0000 : rR0(25) : Excited v=1 26  1     A2u - Ground v=0 25  0 A2g
SymmetricTop Excited  24 10  1 Ground  23  4  1  1500.338548          -               0.0468824259906034  0.0000 : pR1(23) : Excited v=1 24  0    E1u - Ground v=0 23  1 E1g
SymmetricTop Excited  19  6  1 Ground  20  0  1  1499.42407844        -               0.221360359096987   0.0000 : rP0(20) : Excited v=1 19  1     A1u - Ground v=0 20  0 A1g
SymmetricTop Excited  20  7  1 Ground  21  1  1  1499.38855844        -               0.166618413847065   0.0000 : rP0(21) : Excited v=1 20  1     A2u - Ground v=0 21  0 A2g
SymmetricTop Excited  20 10  1 Ground  21  4  1  1499.399488          -               0.0920066096547969  0.0000 : pP1(21) : Excited v=1 20  0    E1u - Ground v=0 21  1 E1g
SymmetricTop Excited  21 10  1 Ground  22  4  1  1499.363302          -               0.0676916443987828  0.0000 : pP1(22) : Excited v=1 21  0    E1u - Ground v=0 22  1 E1g
