          a            b  c  d   e      J  g  h   position            i                     strength         f      z       label       m       n      o   p  q      r  s  t     u   v   K  y
SymmetricTop Excited  13  8  1 Ground  14  2  1  1499.59242104        -               0.253774063011188   0.0000    :     rP3B1g(14)    :     Excited v=1 13  4     B1u - Ground v=0 14  3 B1g
SymmetricTop Excited  15 11  2 Ground  16  5  1  1499.60521396        -               0.480803537618107   0.0000    :     pP4(16)    :     Excited v=1 15  3     E2u - Ground v=0 16  4 E2g
SymmetricTop Excited  14 10  3 Ground  15  4  2  1499.602618          -               0.393910712294761   0.0000    :     pP1(15)    :     Excited v=1 14  0    E1u - Ground v=0 15  1 E1g
SymmetricTop Excited  13 11  3 Ground  14  5  2  1499.60235196        -               0.298511981291482   0.0000    :     rP2(14)    :     Excited v=1 13  3     E2u - Ground v=0 14  2 E2g
SymmetricTop Excited  15 10  1 Ground  16  4  1  1499.61747504        -               0.550850096484287   0.0000    :     pP5(16)    :     Excited v=1 15  4     E1u - Ground v=0 16  5 E1g
SymmetricTop Excited  14 11  4 Ground  15  5  2  1499.61388044        -               0.451809627569099   0.0000    :     pP2(15)    :     Excited v=1 14  1     E2u - Ground v=0 15  2 E2g
SymmetricTop Excited  13 10  2 Ground  14  4  2  1499.61261576        -               0.348587979362255   0.0000    :     rP1(14)    :     Excited v=1 13  2     E1u - Ground v=0 14  1 E1g
SymmetricTop Excited  12 11  1 Ground  13  5  1  1499.613681          -               0.230042082661375   0.0000    :     rP4(13)    :     Excited v=1 12  5     E2u - Ground v=0 13  4 E2g
SymmetricTop Excited  13  6  2 Ground  14  0  1  1499.62321244        -               0.810132117094001   0.0000    :     rP0(14)    :     Excited v=1 13  1     A1u - Ground v=0 14  0 A1g
SymmetricTop Excited  12  8  1 Ground  13  2  1  1499.62327904        -               0.27963009289196    0.0000    :     rP3B1g(13)    :     Excited v=1 12  4     B1u - Ground v=0 13  3 B1g
SymmetricTop Excited  12  9  1 Ground  13  3  1  1499.62327904        -               0.27963009289196    0.0000    :     rP3B2g(13)    :     Excited v=1 12  4     B2u - Ground v=0 13  3 B2g
SymmetricTop Excited  14 11  2 Ground  15  5  1  1499.63740396        -               0.595954072473714   0.0000    :     pP4(15)    :     Excited v=1 14  3     E2u - Ground v=0 15  4 E2g
SymmetricTop Excited  13 10  3 Ground  14  4  2  1499.634142          -               0.469253049141496   0.0000    :     pP1(14)    :     Excited v=1 13  0    E1u - Ground v=0 14  1 E1g
SymmetricTop Excited  12 11  3 Ground  13  5  2  1499.63320996        -               0.335017405268795   0.0000    :     rP2(13)    :     Excited v=1 12  3     E2u - Ground v=0 13  2 E2g
SymmetricTop Excited  12 10  2 Ground  13  4  2  1499.64347376        -               0.397235990328099   0.0000    :     rP1(13)    :     Excited v=1 12  2     E1u - Ground v=0 13  1 E1g
SymmetricTop Excited  11 11  1 Ground  12  5  1  1499.643873          -               0.238556483845474   0.0000    :     rP4(12)    :     Excited v=1 11  5     E2u - Ground v=0 12  4 E2g
SymmetricTop Excited  13 11  4 Ground  14  5  2  1499.64540444        -               0.542749056893604   0.0000    :     pP2(14)    :     Excited v=1 13  1     E2u - Ground v=0 14  2 E2g
SymmetricTop Excited  13  8  2 Ground  14  2  1  1499.65699976        -               0.627514046718573   0.0000    :     pP3B1g(14)    :     Excited v=1 13  2     B1u - Ground v=0 14  3 B1g
SymmetricTop Excited  13  9  2 Ground  14  3  1  1499.65699976        -               0.627514046718573   0.0000    :     pP3B2g(14)    :     Excited v=1 13  2     B2u - Ground v=0 14  3 B2g
SymmetricTop Excited  12 10  3 Ground  13  4  2  1499.665             -               0.547704168482681   0.0000    :     pP1(13)    :     Excited v=1 12  0    E1u - Ground v=0 13  1 E1g
SymmetricTop Excited  11 11  3 Ground  12  5  2  1499.66340196        -               0.365464837550727   0.0000    :     rP2(12)    :     Excited v=1 11  3     E2u - Ground v=0 12  2 E2g
SymmetricTop Excited  12  7  2 Ground  13  1  1  1499.65407044        -               0.935181506455833   0.0000    :     rP0(13)    :     Excited v=1 12  1     A2u - Ground v=0 13  0 A2g
SymmetricTop Excited  14 10  1 Ground  15  4  1  1499.64966504        -               0.686389077670011   0.0000    :     pP5(15)    :     Excited v=1 14  4     E1u - Ground v=0 15  5 E1g
SymmetricTop Excited  11  8  1 Ground  12  2  1  1499.65347104        -               0.298265002494201   0.0000    :     rP3B1g(12)    :     Excited v=1 11  4     B1u - Ground v=0 12  3 B1g
SymmetricTop Excited  11  9  1 Ground  12  3  1  1499.65347104        -               0.298265002494201   0.0000    :     rP3B2g(12)    :     Excited v=1 11  4     B2u - Ground v=0 12  3 B2g
SymmetricTop Excited  13 11  2 Ground  14  5  1  1499.66892796        -               0.725954448887564   0.0000    :     pP4(14)    :     Excited v=1 13  3     E2u - Ground v=0 14  4 E2g
SymmetricTop Excited  12 11  4 Ground  13  5  2  1499.67626244        -               0.639578682785882   0.0000    :     pP2(13)    :     Excited v=1 12  1     E2u - Ground v=0 13  2 E2g
SymmetricTop Excited  11 10  2 Ground  12  4  2  1499.67366576        -               0.441362821283562   0.0000    :     rP1(12)    :     Excited v=1 11  2     E1u - Ground v=0 12  1 E1g
SymmetricTop Excited  10 11  1 Ground  11  5  1  1499.673399          -               0.23641306722108    0.0000    :     rP4(11)    :     Excited v=1 10  5     E2u - Ground v=0 11  4 E2g
SymmetricTop Excited  11  6  2 Ground  12  0  1  1499.68426244        -               1.05505146864781    0.0000    :     rP0(12)    :     Excited v=1 11  1     A1u - Ground v=0 12  0 A1g
SymmetricTop Excited  12  9  2 Ground  13  3  1  1499.68785776        -               0.745680247711893   0.0000    :     pP3B2g(13)    :     Excited v=1 12  2     B2u - Ground v=0 13  3 B2g
SymmetricTop Excited  12  8  2 Ground  13  2  1  1499.68785776        -               0.745680247711893   0.0000    :     pP3B1g(13)    :     Excited v=1 12  2     B1u - Ground v=0 13  3 B1g
SymmetricTop Excited  10  9  1 Ground  11  3  1  1499.68299704        -               0.306532704778617   0.0000    :     rP3B2g(11)    :     Excited v=1 10  4     B2u - Ground v=0 11  3 B2g
SymmetricTop Excited  10  8  1 Ground  11  2  1  1499.68299704        -               0.306532704778617   0.0000    :     rP3B1g(11)    :     Excited v=1 10  4     B1u - Ground v=0 11  3 B1g
SymmetricTop Excited  11  8  2 Ground  12  2  1  1499.71804976        -               0.869939590608086   0.0000    :     pP3B1g(12)    :     Excited v=1 11  2     B1u - Ground v=0 12  3 B1g
SymmetricTop Excited  11  9  2 Ground  12  3  1  1499.71804976        -               0.869939590608086   0.0000    :     pP3B2g(12)    :     Excited v=1 11  2     B2u - Ground v=0 12  3 B2g
SymmetricTop Excited  10 10  3 Ground  11  4  2  1499.724718          -               0.699835521751471   0.0000    :     pP1(11)    :     Excited v=1 10  0    E1u - Ground v=0 11  1 E1g
SymmetricTop Excited   9 11  3 Ground  10  5  2  1499.72178796        -               0.394001023299508   0.0000    :     rP2(10)    :     Excited v=1  9  3     E2u - Ground v=0 10  2 E2g
SymmetricTop Excited  11 11  2 Ground  12  5  1  1499.72997796        -               1.02238493076632    0.0000    :     pP4(12)    :     Excited v=1 11  3     E2u - Ground v=0 12  4 E2g
SymmetricTop Excited   9 10  2 Ground  10  4  2  1499.73205176        -               0.50054346074654    0.0000    :     rP1(10)    :     Excited v=1  9  2     E1u - Ground v=0 10  1 E1g
SymmetricTop Excited   8 11  1 Ground   9  5  1  1499.730453          -               0.192422391578812   0.0000    :     rP4(9)    :     Excited v=1  8  5     E2u - Ground v=0  9  4 E2g
SymmetricTop Excited   9  6  2 Ground  10  0  1  1499.74264844        -               1.24637422224911    0.0000    :     rP0(10)    :     Excited v=1  9  1     A1u - Ground v=0 10  0 A1g
SymmetricTop Excited  11 10  1 Ground  12  4  1  1499.74223904        -               1.2010806867622     0.0000    :     pP5(12)    :     Excited v=1 11  4     E1u - Ground v=0 12  5 E1g
SymmetricTop Excited  10  8  2 Ground  11  2  1  1499.74757576        -               0.996231290530504   0.0000    :     pP3B1g(11)    :     Excited v=1 10  2     B1u - Ground v=0 11  3 B1g
SymmetricTop Excited  10  9  2 Ground  11  3  1  1499.74757576        -               0.996231290530504   0.0000    :     pP3B2g(11)    :     Excited v=1 10  2     B2u - Ground v=0 11  3 B2g
SymmetricTop Excited  10 11  2 Ground  11  5  1  1499.75950396        -               1.1820653361054     0.0000    :     pP4(11)    :     Excited v=1 10  3     E2u - Ground v=0 11  4 E2g
SymmetricTop Excited   9 10  3 Ground  10  4  2  1499.753578          -               0.764719176140547   0.0000    :     pP1(10)    :     Excited v=1  9  0    E1u - Ground v=0 10  1 E1g
SymmetricTop Excited   8 10  2 Ground   9  4  2  1499.76024576        -               0.50747365756636    0.0000    :     rP1(9)    :     Excited v=1  8  2     E1u - Ground v=0  9  1 E1g
SymmetricTop Excited   7 11  1 Ground   8  5  1  1499.757981          -               0.149962337816234   0.0000    :     rP4(8)    :     Excited v=1  7  5     E2u - Ground v=0  8  4 E2g
SymmetricTop Excited  24 11  1 Ground  24  5  1  1499.754429          -               0.0698705791863173  0.0000    :     rQ4(24)    :     Excited v=1 24  5     E2u - Ground v=0 24  4 E2g
SymmetricTop Excited  26  6  2 Ground  26  0  1  1499.76085244        -               0.064962777733692   0.0000    :     rQ0(26)    :     Excited v=1 26  1     A1u - Ground v=0 26  0 A1g
SymmetricTop Excited  10 10  1 Ground  11  4  1  1499.77176504        -               1.40034005196701    0.0000    :     pP5(11)    :     Excited v=1 10  4     E1u - Ground v=0 11  5 E1g
SymmetricTop Excited   8  7  2 Ground   9  1  1  1499.77084244        -               1.29973443752756    0.0000    :     rP0(9)    :     Excited v=1  8  1     A2u - Ground v=0  9  0 A2g
SymmetricTop Excited   9  8  2 Ground  10  2  1  1499.77643576        -               1.11969730561008    0.0000    :     pP3B1g(10)    :     Excited v=1  9  2     B1u - Ground v=0 10  3 B1g
SymmetricTop Excited   9  9  2 Ground  10  3  1  1499.77643576        -               1.11969730561008    0.0000    :     pP3B2g(10)    :     Excited v=1  9  2     B2u - Ground v=0 10  3 B2g
SymmetricTop Excited  23 11  1 Ground  23  5  1  1499.770413          -               0.0980285975086194  0.0000    :     rQ4(23)    :     Excited v=1 23  5     E2u - Ground v=0 23  4 E2g
